movie_id,director_id,name,gender
22588,141450,Mel Smith,2.0
10872,34849,Ted Demme,2.0
1245,54441,James Ivory,2.0
11858,14911,Penny Marshall,1.0
7007,648,Philip Kaufman,2.0
10467,9168,Alan Parker,2.0
5550,44056,Fred Dekker,2.0
8005,14639,Mel Brooks,2.0
2088,21377,Peter Medak,2.0
10412,65026,Geoffrey Wright,2.0
47889,138322,Victor Nunez,2.0
14534,44847,David Anspaugh,2.0
56583,15858,Tim Hunter,2.0
41878,127283,Cyril Collard,2.0
424,488,Steven Spielberg,2.0
35233,12964,Michael Ritchie,2.0
14291,2260,Steven Zaillian,2.0
103413,8969,Chris Menges,2.0
11236,1128,Agnieszka Holland,1.0
11592,10367,John Waters,2.0
8850,52968,Russell Mulcahy,2.0
10445,4786,Richard Attenborough,2.0
695,9789,Robert Altman,2.0
43535,33405,Gillies MacKinnon,2.0
12519,72624,John Duigan,2.0
23210,64061,Fred Schepisi,2.0
858,9248,Nora Ephron,0.0
867,13015,Phillip Noyce,2.0
78,578,Ridley Scott,2.0
13203,54590,Steve Rash,2.0
10442,15106,Thomas Schlamme,2.0
11074,63943,Rowdy Herrington,2.0
33367,111687,Arthur Joffé,0.0
9607,58164,Annabel Jankel,0.0
9607,58165,Rocky Morton,2.0
17585,15521,Ernest R. Dickerson,2.0
9057,45645,Deran Sarafian,2.0
20967,78012,François Girard,2.0
10635,41549,Andrew Fleming,2.0
9479,57646,Henry Selick,2.0
10057,18356,Stephen Herek,2.0
11969,16566,George P. Cosmatos,2.0
41590,53387,Heywood Gould,2.0
319,893,Tony Scott,2.0
26408,21113,D.A. Pennebaker,2.0
26408,115891,Chris Hegedus,1.0
15139,4945,Joe Johnston,2.0
15139,74299,Pixote Hunt,0.0
15139,1164376,Maurice Hunt,0.0
161158,1212571,Jerry Ciccoritti,0.0
218473,70241,Jennifer Warren,1.0
85247,85547,Mark Malone,2.0
11446,66605,Todd Solondz,2.0
51980,20718,Claude Berri,2.0
24405,2778,Dennis Hopper,2.0
11655,10828,Guillermo del Toro,2.0
11800,69696,Daniel Algrant,2.0
8223,309,Pedro Almodóvar,2.0
14587,6220,Gurinder Chadha,1.0
31504,3030,Andrew Scheinman,2.0
41653,91565,Åke Sandgren,0.0
53185,33315,Richard Loncraine,2.0
95743,1006705,Eva Sereny,0.0
23637,26265,Lina Wertmüller,0.0
17600,17883,David O. Russell,2.0
10897,58448,Penelope Spheeris,0.0
349394,1354907,Rémy Duchemin,0.0
21352,1174031,George T. Miller,0.0
68806,105114,Ricky Tognazzi,2.0
37345,67756,Michael Austin,0.0
32562,109402,Rob Epstein,2.0
32562,109403,Jeffrey Friedman,2.0
47507,2406,Mathieu Kassovitz,2.0
25403,69488,Nanni Moretti,2.0
124304,1066960,María Luisa Bemberg,1.0
9066,31024,Betty Thomas,1.0
771,10965,Chris Columbus,2.0
251,3415,Jerry Zucker,2.0
812,15810,Ron Clements,2.0
812,15811,John Musker,2.0
280,2710,James Cameron,2.0
581,1269,Kevin Costner,2.0
80350,589306,Steve Cohen,0.0
268,510,Tim Burton,2.0
274,16294,Jonathan Demme,2.0
408,5446,David Hand,2.0
10020,62047,Gary Trousdale,2.0
10020,62048,Kirk Wise,2.0
10895,11429,Hamilton Luske,2.0
10895,11426,Ben Sharpsteen,2.0
114,1201,Garry Marshall,2.0
41043,125340,Yuri Mamin,0.0
576,7767,Sam Peckinpah,0.0
15477,78258,C.M. Talkington,0.0
59146,134026,Huang Jianxin,0.0
124472,1080040,Jean Bach,0.0
30528,54967,Sam Weisman,2.0
7300,52405,Michael Hoffman,2.0
10824,15557,Bill Condon,2.0
261246,116607,Stephen Poliakoff,2.0
275,1223,Joel Coen,0.0
25059,4755,David R. Ellis,2.0
11827,70616,Gerald Potterton,2.0
8766,176246,Kevin Yagher,0.0
